Work Item ID,Parent ID,Work Type,Summary,Description,Epic Name,Labels,Story Points,Priority
16,1,Story,"Shop admin can add bank/payout account and set payout schedule","As shop admin I want to add bank account and choose payout schedule (e.g. weekly) so that I can receive settlements. Acceptance: Add bank: holder name bank name account number IFSC/code optional proof. Payout schedule weekly bi-weekly cutoff and payout day. View and update; one primary per shop. Data masked and stored securely.",Shop Admin Onboarding & Operations,payouts onboarding bank,5,Medium
17,1,Story,"Shop admin can view payout statements and history","As shop admin I want to view payout history and statements (amount date deductions) so that I can reconcile earnings. Acceptance: List payouts: date period gross deductions net status. Statement view or download PDF/CSV. Filters date range status.",Shop Admin Onboarding & Operations,payouts reporting statements,5,Medium
18,1,Story,"Shop admin can configure tax registration and rates per store","As shop admin I want to set GST/VAT registration and tax rates per store so that orders and payouts are tax-compliant. Acceptance: Per store: tax registration number tax-inclusive or exclusive. Optional default rate per product. Tax in order breakdown and payout statements. Stretch: tax report export.",Shop Admin Onboarding & Operations,tax compliance store-settings,5,Medium
19,1,Story,"Shop admin sees basic sales and order analytics on a dashboard","As shop admin I want to see a simple dashboard with sales summary order trends and top products so that I understand performance. Acceptance: Widgets: total sales order count AOV. Chart orders/revenue over time. Top products by quantity/revenue. Filter by store or all. Data scoped to admin stores only.",Shop Admin Onboarding & Operations,analytics dashboard reporting,8,Medium
20,1,Story,"Shop admin can manage notification preferences (email in-app)","As shop admin I want to choose which notifications I receive (new order low stock return refund payout) and channel (email in-app) so that I am not overwhelmed. Acceptance: Toggles per event type. Channel email on/off in-app on/off. Saved per admin. Notifications respect preferences.",Shop Admin Onboarding & Operations,notifications preferences shop-admin,5,Medium
21,1,Story,"Platform can suspend a store; admin can view reason and request reinstatement","As platform I want to suspend a store or shop so that they cannot sell until resolved. As shop admin I want to see reason and submit reinstatement request. Acceptance: Super-admin suspend with reason and date. Suspended: products hidden; admin limited. Admin sees banner and Request reinstatement. Platform can reinstate. Optional appeal workflow.",Shop Admin Onboarding & Operations,platform-admin moderation stores compliance,5,Medium
22,2,Sub-task,"Implement registration API and validation for shop admin","Implement registration form/API: accept business name type address phone tax ID and user name email password. Enforce unique email and password policy. Create shop record with PENDING_APPROVAL. Return clear validation errors.",,,,
23,2,Sub-task,"Create Shop/SellerProfile entity and link to User","Add Shop or SellerProfile entity with business info and status (PENDING_APPROVAL APPROVED REJECTED SUSPENDED). Link to User 1:1. Block seller dashboard access until APPROVED.",,,,
24,3,Sub-task,"Implement document upload API and storage","Allow upload of ID proof business registration address proof. Enforce file type and size (e.g. PDF JPG max 5MB). Store securely and link to shop profile. Return list of uploaded documents.",,,,
25,3,Sub-task,"Platform UI to view and verify/reject documents","Super-admin can view uploaded documents and mark as verified or rejected with reason. Admin can re-upload if rejected.",,,,
26,4,Sub-task,"List pending shop admins with filters","API and UI to list shop admins with status PENDING_APPROVAL. Filters: date business name. Super-admin can open profile and view business details and documents.",,,,
27,4,Sub-task,"Approve/Reject actions and notifications","Implement Approve and Reject with optional reason. On Approve set status APPROVED and send welcome email. On Reject set REJECTED notify admin with reason. Support reapply if needed.",,,,
28,5,Sub-task,"Store CRUD and list for approved admin","Only APPROVED shop can create stores. Create: name address phone logo business hours timezone currency. List edit deactivate. Unique store identifier (code/slug). Default shipping origin.",,,,
29,5,Sub-task,"Enforce approval check and store authorization","Middleware or guard: ensure user has APPROVED shop profile before store create/list. Scope all store APIs to shop admin's stores.",,,,
30,6,Sub-task,"Category model and platform/store-level categories","Categories at platform or store level. Fields: name parent (tree) image isActive. APIs to list and manage. Shop admin can browse when creating product.",,,,
31,6,Sub-task,"Product category assignment in product form","When creating/editing product allow selecting one or more categories. Persist and filter products by category.",,,,
32,7,Sub-task,"Product CRUD and list APIs at store level","Product linked to one store. Full CRUD. Fields: name SKU description images price tax inventory weight. Status DRAFT ACTIVE OUT_OF_STOCK DISCONTINUED. List with filters: store status category search. Only ACTIVE visible to customers.",,,,
33,7,Sub-task,"Product status and low-stock threshold","Implement status transitions and low-stock threshold (per product or store default). When quantity <= threshold flag and optionally auto-set OUT_OF_STOCK.",,,,
34,8,Sub-task,"Bulk import endpoint and validation","Accept CSV/Excel upload. Validate headers and required fields (name SKU price store). Support create and update by SKU+store. Return or store error report (row number message).",,,,
35,8,Sub-task,"Async import job and error report for large files","For large files run async job; notify admin when done; provide download link for error report. Enforce max file size and row count (e.g. 10k).",,,,
36,9,Sub-task,"Low-stock threshold config and flagging","Configurable threshold per product or default per store. When quantity <= threshold set low-stock flag and show in list. Filter products by low stock.",,,,
37,9,Sub-task,"Low-stock notification trigger","When stock falls below threshold trigger notification (email or in-app). Respect notification preferences (when implemented).",,,,
38,10,Sub-task,"Unified orders list API for all stores","Single API returning orders for all stores of logged-in shop admin. Columns: order ID date store customer items total order status payment status. Pagination and sort.",,,,
39,10,Sub-task,"Order list filters and detail view","Filters: store date range order status payment status. Expand or detail endpoint for line items shipping address payment info. Authorization: only admin's stores.",,,,
40,11,Sub-task,"Order status enum and valid transitions","Define statuses: PLACED CONFIRMED PROCESSING SHIPPED DELIVERED CANCELLED RETURNED. Enforce valid transitions. API to update status.",,,,
41,11,Sub-task,"Carrier and tracking when marking SHIPPED","When marking order SHIPPED require or allow carrier and tracking number (and URL). Expose status and tracking to customer and platform. Optional webhook on change.",,,,
42,12,Sub-task,"Export orders API with same filters","Export endpoint using same filters as order list. Format CSV or Excel. Columns aligned with list. Limit size (e.g. 50k) or async job with download link.",,,,
43,13,Sub-task,"Carrier list and tracking on shipment","Master list of carriers or per-store preferred. When SHIPPED store carrier tracking number and optional URL. Optional expected delivery date. Optional label generation or upload.",,,,
44,14,Sub-task,"Refund entity and APIs","Refund linked to order and optionally line items. Full or partial; amount currency reason. Status: PENDING APPROVED PROCESSING COMPLETED FAILED. Update order/payment status. Audit log.",,,,
45,15,Sub-task,"Return request entity and list with filters","Return linked to order/line items; reason photos status REQUESTED. List with filters by store order status. Approve with instructions or Reject with reason.",,,,
46,15,Sub-task,"Return workflow: receive inspect refund/replace","After approval admin marks return received. Then process refund (link to refund) or replacement. Status flow to COMPLETED. Notify customer.",,,,
47,16,Sub-task,"Bank/payout account and schedule","Add bank account (holder name bank IFSC account number optional proof). Payout schedule: weekly/bi-weekly cutoff and payout day. One primary per shop. Mask and store securely.",,,,
48,17,Sub-task,"Payout list and statement download","List payouts: date period gross deductions net status. Statement view or PDF/CSV download. Filters: date range status.",,,,
49,18,Sub-task,"Tax registration and rates per store","Per store: tax registration number (e.g. GSTIN); tax-inclusive or exclusive. Optional default tax rate per product. Show tax in order breakdown and payout statements.",,,,
50,19,Sub-task,"Dashboard widgets and charts","Widgets: total sales (today/week/month) order count AOV. Chart: orders or revenue over time. Top products by quantity/revenue. Filter by store or all. Scope to admin stores.",,,,
51,20,Sub-task,"Notification preference toggles and storage","Per-event toggles (new order low stock return refund payout). Channel: email on/off in-app on/off. Save per shop admin. Use when sending notifications.",,,,
52,21,Sub-task,"Suspend store/shop and reinstatement flow","Super-admin can suspend store or shop with reason and date. Suspended: products hidden; admin view-only or limited. Admin sees banner and Request reinstatement. Platform can reinstate. Optional appeal with comments/docs.",,,,
